depth,station,insitu,gldas,"error(days, gldas-insitu)",network,signature_type
2.5,32,733292.83905638,733318.612715287,25.773658907040954,Oznet,End of drying
2.5,32,733707.401744846,733703.000001014,-4.401743832044303,Oznet,End of drying
2.5,32,,,,Oznet,End of drying
2.5,32,,,,Oznet,End of drying
2.5,32,734821.395460914,734869.606819616,48.21135870204307,Oznet,End of drying
2.5,32,,,,Oznet,End of drying
2.5,32,,,,Oznet,End of drying
2.5,32,735833.326968003,735906.844306594,73.5173385910457,Oznet,End of drying
2.5,32,,,,Oznet,End of drying
2.5,32,736630.47505245,736664.672520028,34.19746757799294,Oznet,End of drying
2.5,32,736966.000011167,736997.379942533,31.37993136595469,Oznet,End of drying
2.5,32,737273.793478646,737329.508555875,55.715077229076996,Oznet,End of drying
2.5,35,,,,Oznet,End of drying
2.5,35,733293.431262071,733319.385096223,25.953834151965566,Oznet,End of drying
2.5,35,733694.277938929,733702.681863606,8.403924676938914,Oznet,End of drying
2.5,35,734168.217989632,734149.999999998,-18.21798963402398,Oznet,End of drying
2.5,35,734454.999999908,734514.000119053,59.00011914491188,Oznet,End of drying
2.5,35,,,,Oznet,End of drying
2.5,35,735133.088819769,735238.462023558,105.3732037890004,Oznet,End of drying
2.5,35,735518.278143234,735555.265907272,36.98776403802913,Oznet,End of drying
2.5,35,735823.400624334,735907.230573454,83.82994912005961,Oznet,End of drying
2.5,35,,,,Oznet,End of drying
2.5,35,736698.760873741,736661.235875805,-37.52499793597963,Oznet,End of drying
2.5,35,,,,Oznet,End of drying
2.5,35,737305.410674286,737329.999999739,24.589325453038327,Oznet,End of drying
2.5,27,,,,Oznet,End of wetting
2.5,27,733236.000216155,733216.691672051,-19.308544103987515,Oznet,End of wetting
2.5,27,733539.313912889,733595.376215126,56.062302237027325,Oznet,End of wetting
2.5,27,733943.161054812,733948.70632724,5.545272427960299,Oznet,End of wetting
2.5,27,,,,Oznet,End of wetting
2.5,27,,,,Oznet,End of wetting
2.5,27,,,,Oznet,End of wetting
2.5,27,,,,Oznet,End of wetting
2.5,27,,,,Oznet,End of wetting
2.5,27,,,,Oznet,End of wetting
2.5,27,736467.284250327,736494.286141884,27.001891557010822,Oznet,End of wetting
2.5,27,736825.311556652,736816.17786347,-9.13369318190962,Oznet,End of wetting
2.5,27,737200.155245033,737197.931038087,-2.224206945975311,Oznet,End of wetting
2.5,28,,,,Oznet,End of wetting
2.5,28,,,,Oznet,End of wetting
2.5,28,,,,Oznet,End of wetting
2.5,28,733945.000038103,733952.225312642,7.225274539086968,Oznet,End of wetting
2.5,28,,,,Oznet,End of wetting
2.5,28,,,,Oznet,End of wetting
2.5,28,734926.848488415,734931.000044279,4.151555864023976,Oznet,End of wetting
2.5,28,735407.999999988,735412.759642801,4.759642813005485,Oznet,End of wetting
2.5,28,735687.999964488,735694.516234196,6.516269708052278,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,30,733206.346389014,733210.999312471,4.652923456975259,Oznet,End of wetting
2.5,30,733591.866885989,733589.999999869,-1.8668861199403182,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,30,734333.412470571,734308.941524866,-24.470945704961196,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,30,736500.049300184,736493.677274314,-6.37202587001957,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,30,,,,Oznet,End of wetting
2.5,32,,,,Oznet,End of wetting
2.5,32,733195.999833981,733218.915171268,22.91533728700597,Oznet,End of wetting
2.5,32,733616.081574311,733593.102705208,-22.978869103011675,Oznet,End of wetting
2.5,32,,,,Oznet,End of wetting
2.5,32,,,,Oznet,End of wetting
2.5,32,,,,Oznet,End of wetting
2.5,32,,,,Oznet,End of wetting
2.5,32,,,,Oznet,End of wetting
2.5,32,735638.570915066,735698.821260421,60.250345354899764,Oznet,End of wetting
2.5,32,,,,Oznet,End of wetting
2.5,32,736507.694148597,736492.52592564,-15.168222956941463,Oznet,End of wetting
2.5,32,736783.574019133,736819.624741877,36.05072274396662,Oznet,End of wetting
2.5,32,737197.406809307,737201.589338811,4.182529503945261,Oznet,End of wetting
2.5,35,,,,Oznet,End of wetting
2.5,35,733223.001510579,733215.04588192,-7.955628658994101,Oznet,End of wetting
2.5,35,733599.628561076,733579.113204866,-20.515356210060418,Oznet,End of wetting
2.5,35,,,,Oznet,End of wetting
2.5,35,734335.069550233,734307.95329305,-27.11625718290452,Oznet,End of wetting
2.5,35,,,,Oznet,End of wetting
2.5,35,734928.532067333,734934.424770094,5.892702760989778,Oznet,End of wetting
2.5,35,735379.983928497,735411.548591847,31.564663350000046,Oznet,End of wetting
2.5,35,735762.000017899,735691.448192116,-70.55182578298263,Oznet,End of wetting
2.5,35,,,,Oznet,End of wetting
2.5,35,736506.643870878,736492.249862216,-14.39400866208598,Oznet,End of wetting
2.5,35,,,,Oznet,End of wetting
2.5,35,737227.999999976,737179.539066414,-48.46093356201891,Oznet,End of wetting
5.08,11,,,,SCAN,Start of drying
5.08,11,735971.999725196,736002.617894202,30.618169005960226,SCAN,Start of drying
5.08,11,736454.848798486,736456.860331788,2.011533301905729,SCAN,Start of drying
5.08,11,736748.551462422,736758.665319977,10.11385755497031,SCAN,Start of drying
5.08,11,737153.751868178,737158.684441555,4.932573376921937,SCAN,Start of drying
5.08,12,,,,SCAN,Start of drying
5.08,12,733152.999999994,733195.708705504,42.708705510012805,SCAN,Start of drying
5.08,12,733577.302799769,733575.392538799,-1.9102609700057656,SCAN,Start of drying
5.08,12,,,,SCAN,Start of drying
5.08,12,734402.010170083,734312.848444611,-89.1617254720768,SCAN,Start of drying
5.08,12,734684.911901799,734558.999999969,-125.91190182999708,SCAN,Start of drying
5.08,12,735039.812500126,735035.999999992,-3.8125001339940354,SCAN,Start of drying
5.08,12,735402.000026585,735399.999999984,-2.0000266009010375,SCAN,Start of drying
5.08,12,735719.043127617,735697.999999989,-21.04312762792688,SCAN,Start of drying
5.08,19,,,,SCAN,Start of drying
5.08,22,,,,SCAN,Start of drying
5.08,22,733480.651146751,733454.999999999,-25.651146752061322,SCAN,Start of drying
5.08,22,733880.430816577,733816.742244377,-63.68857220001519,SCAN,Start of drying
5.08,22,734219.330060051,734178.999999978,-40.33006007305812,SCAN,Start of drying
5.08,22,734587.404079265,734549.01010146,-38.39397780492436,SCAN,Start of drying
5.08,22,734949.131955394,734942.197682779,-6.9342726150061935,SCAN,Start of drying
5.08,22,735340.026420927,735299.249154789,-40.777266138000414,SCAN,Start of drying
5.08,22,735682.000002038,735642.742698767,-39.25730327097699,SCAN,Start of drying
5.08,22,736130.000256456,735995.999960952,-134.0002955039963,SCAN,Start of drying
5.08,22,736412.000019766,736364.0,-48.00001976604108,SCAN,Start of drying
5.08,22,736774.252995949,736723.267554266,-50.98544168297667,SCAN,Start of drying
5.08,22,737143.572226514,737170.415382984,26.843156469985843,SCAN,Start of drying
5.08,25,,,,SCAN,Start of drying
5.08,25,730591.317579846,730538.999999963,-52.31757988303434,SCAN,Start of drying
5.08,25,730967.462055782,730910.618948836,-56.843106945976615,SCAN,Start of drying
5.08,25,731373.000082735,731318.649052325,-54.35103040991817,SCAN,Start of drying
5.08,26,,,,SCAN,Start of drying
5.08,26,732490.387281228,732411.193957345,-79.19332388299517,SCAN,Start of drying
5.08,26,732780.000004888,732766.000088045,-13.99991684302222,SCAN,Start of drying
5.08,26,733144.632654412,733149.264424033,4.63176962104626,SCAN,Start of drying
5.08,26,733573.60116997,733475.549418472,-98.05175149801653,SCAN,Start of drying
5.08,26,733901.544137498,733793.0,-108.5441374980146,SCAN,Start of drying
5.08,26,734299.966991795,734200.101387876,-99.86560391902458,SCAN,Start of drying
5.08,26,734661.999999962,734555.550499386,-106.4495005760109,SCAN,Start of drying
5.08,26,735032.308305289,735025.999995564,-6.308309725020081,SCAN,Start of drying
5.08,26,735404.596196761,735302.549929684,-102.04626707697753,SCAN,Start of drying
5.08,26,735718.190081488,735685.988463359,-32.20161812903825,SCAN,Start of drying
5.08,26,736059.573596051,735990.99998482,-68.5736112309387,SCAN,Start of drying
5.08,26,736481.389440945,736479.352713011,-2.036727934028022,SCAN,Start of drying
5.08,26,736789.888185413,736779.170525774,-10.717659638961777,SCAN,Start of drying
5.08,26,737179.999999754,737139.406305292,-40.59369446197525,SCAN,Start of drying
5.08,27,734298.630268351,734203.665464631,-94.9648037198931,SCAN,Start of drying
5.08,27,734655.055750743,734545.11709413,-109.93865661299787,SCAN,Start of drying
5.08,27,734953.911048152,734938.0,-15.911048152018338,SCAN,Start of drying
5.08,27,735335.547431206,735301.99999999,-33.54743121599313,SCAN,Start of drying
5.08,27,735726.052459731,735620.000378587,-106.05208114394918,SCAN,Start of drying
5.08,27,736131.804723747,735993.778436081,-138.0262876659399,SCAN,Start of drying
5.08,27,736461.110831744,736384.967825635,-76.14300610905048,SCAN,Start of drying
5.08,27,736807.90844911,736735.447410248,-72.46103886200581,SCAN,Start of drying
5.08,27,737207.65285157,737137.592793621,-70.06005794904195,SCAN,Start of drying
5.08,28,,,,SCAN,Start of drying
5.08,28,733476.625900467,733447.251703629,-29.374196838005446,SCAN,Start of drying
5.08,28,733834.302583841,733793.999999643,-40.30258419807069,SCAN,Start of drying
5.08,28,734225.000005025,734183.191745513,-41.80825951194856,SCAN,Start of drying
5.08,28,734580.645282004,734543.00000264,-37.645279364078306,SCAN,Start of drying
5.08,28,734940.999898343,734930.230229462,-10.769668880966492,SCAN,Start of drying
5.08,28,735357.199984831,735277.814934963,-79.38504986802582,SCAN,Start of drying
5.08,28,735678.098351868,735632.999999944,-45.09835192398168,SCAN,Start of drying
5.08,28,736098.999696277,735992.999995288,-105.99970098899212,SCAN,Start of drying
5.08,28,736417.011267064,736370.669646056,-46.34162100800313,SCAN,Start of drying
5.08,28,736754.999995169,736727.941229259,-27.058765909983777,SCAN,Start of drying
5.08,28,737205.335671952,737174.465432538,-30.870239414041862,SCAN,Start of drying
5.08,29,734288.434767094,734289.665899456,1.231132362037897,SCAN,Start of drying
5.08,29,734649.331336861,734560.932137765,-88.39919909602031,SCAN,Start of drying
5.08,29,734963.736218389,734931.589427163,-32.14679122599773,SCAN,Start of drying
5.08,29,735319.529435846,735302.999665344,-16.529770502005704,SCAN,Start of drying
5.08,29,735706.470399441,735658.000035918,-48.470363522996195,SCAN,Start of drying
5.08,29,736014.003685922,736000.242309724,-13.76137619803194,SCAN,Start of drying
5.08,29,736445.509433412,736366.458536994,-79.05089641804807,SCAN,Start of drying
5.08,29,736802.376293077,736728.606740432,-73.76955264504068,SCAN,Start of drying
5.08,29,737159.921293063,737189.998924539,30.07763147598598,SCAN,Start of drying
5.08,31,734250.544919041,734215.833591027,-34.711328014032915,SCAN,Start of drying
5.08,31,734639.496085036,734545.284934814,-94.21115022199228,SCAN,Start of drying
5.08,31,734955.999999811,734924.831915246,-31.168084565084428,SCAN,Start of drying
5.08,31,735318.000222333,735282.940903206,-35.0593191270018,SCAN,Start of drying
5.08,31,735679.99762112,735604.852501433,-75.14511968696024,SCAN,Start of drying
5.08,31,,,,SCAN,Start of drying
5.08,31,736396.999999662,736413.583723241,16.58372357895132,SCAN,Start of drying
5.08,31,736748.862697046,736785.547758728,36.68506168201566,SCAN,Start of drying
5.08,31,737141.619589468,737130.358400658,-11.261188809992746,SCAN,Start of drying
5.08,33,,,,SCAN,Start of drying
5.08,33,732861.006497247,,,SCAN,Start of drying
5.08,33,733197.758105095,733170.792986337,-26.965118758031167,SCAN,Start of drying
5.08,35,733200.328198033,,,SCAN,Start of drying
5.08,35,733571.707389224,733576.453754671,4.746365447062999,SCAN,Start of drying
5.08,35,733907.129680237,733897.889706716,-9.239973520976491,SCAN,Start of drying
5.08,35,734311.467420694,734300.021572278,-11.44584841595497,SCAN,Start of drying
5.08,35,734674.159746089,734657.999999926,-16.159746163059026,SCAN,Start of drying
5.08,35,734966.603640852,735016.713802317,50.110161465010606,SCAN,Start of drying
5.08,35,735417.000000174,735408.351157827,-8.648842347087339,SCAN,Start of drying
5.08,35,735752.264984633,735689.799430842,-62.46555379091296,SCAN,Start of drying
5.08,35,736127.215907086,736114.99999293,-12.215914156055078,SCAN,Start of drying
5.08,35,736455.641007577,736482.540828413,26.899820836028084,SCAN,Start of drying
5.08,35,736792.351130062,736810.451165596,18.100035534007475,SCAN,Start of drying
5.08,35,737238.928911004,737137.673032643,-101.255878360942,SCAN,Start of drying
5.08,36,733825.000001889,733817.511117291,-7.488884597900324,SCAN,Start of drying
5.08,36,734184.000001084,734182.791127577,-1.2088735069846734,SCAN,Start of drying
5.08,36,734608.862056004,734562.790870915,-46.07118508894928,SCAN,Start of drying
5.08,36,,,,SCAN,Start of drying
5.08,36,,,,SCAN,Start of drying
5.08,36,,,,SCAN,Start of drying
5.08,36,735973.374089414,736005.277924558,31.903835144010372,SCAN,Start of drying
5.08,36,736407.463275553,736360.691085717,-46.77218983601779,SCAN,Start of drying
5.08,36,736791.53891402,736728.129704761,-63.40920925908722,SCAN,Start of drying
5.08,36,737142.99999891,737145.09886139,2.0988624800229445,SCAN,Start of drying
5.08,36,737529.375983217,737489.9289489,-39.447034317068756,SCAN,Start of drying
5.08,41,,,,SCAN,Start of drying
5.08,41,733827.999932798,733796.59294385,-31.406988948001526,SCAN,Start of drying
5.08,41,,,,SCAN,Start of drying
5.08,41,734590.925912973,734578.975484793,-11.950428180047311,SCAN,Start of drying
5.08,44,,,,SCAN,Start of drying
5.08,44,733192.656077148,733210.160738067,17.504660918959416,SCAN,Start of drying
5.08,44,733559.735333406,733579.406995871,19.671662464970723,SCAN,Start of drying
5.08,44,733905.486962234,733830.999917568,-74.48704466596246,SCAN,Start of drying
5.08,44,734302.597499948,734306.999965998,4.40246604999993,SCAN,Start of drying
5.08,44,734661.00032228,734667.896056335,6.895734054967761,SCAN,Start of drying
5.08,44,735091.08915596,735015.430005243,-75.65915071696509,SCAN,Start of drying
